Syriac	Transliteration	English	PartOfSpeech	Gender	Lesson	Notes
	Alāhā	God	noun	m	00	
ܕܝܘܬܐ	dīyūtā	Ink	noun	f	00	
ܐܣܛܪܢܓܠܐ	Estrangelā	Rounded script	noun	f	00	
ܟܬܒܐ	ktābā	Book, scripture	noun	m	00	
	malkā	King	noun	m	00	
ܡܓܠܬܐ	megalltā	Scroll	noun	f	00	
ܢܡܘܣܐ	nāmūsā	Law (from Gk Nomos)	noun	m	00	
	nūhrā	Light	noun	m	00	
ܩܠܡܐ	qalmā	Pen, reed	noun	m	00	
ܩܪܨܐ	qarṣā	Parchment	noun	m	00	
ܣܦܪܐ	sāp̄rā	Scribe, writer	noun	m	00	
	Yūḥannan	John	noun	m	00	
	ʾarʿā	Earth	noun	f	00	
ܒܪܢܫܐ	barnāšā	Human, son of man	noun	m	01	Compounded from *bar* (son) + *nāšā* (man). Standard term for human.
ܒܣܪܐ	besrā	flesh	noun	m	01	
ܒܝܫܐ	bīšā	Evil, bad	noun	m	01	Adjective behaving as noun.
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f	01	abstract noun
ܕܝܢܐ	dīnā	judgment	noun	m	01	
ܓܪܡܐ	garmā	bone	noun	m	01	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m	01	
ܗܢܝܢ	hennēn	They (f)	pronoun		01	hunna (هنّ)
ܗܢܘܢ	hennōn	They (m)	pronoun		01	hum (هم)
ܗܝ	hī	She / It	pronoun		01	hiya (هي)
ܗܘ	hū	He / It	pronoun		01	huwa (هو)
ܟܐܦܐ	kēpā	stone, rock	noun	f	01	
ܠܫܢܐ	leššānā	tongue, language	noun	m	01	
ܡܠܟܘܬܐ	malkūttā	Kingdom	noun	f	01	Abstract noun ending *-ūttā*
ܡܝܐ	mayyā	water	noun	m	01	plural in form; plural form
ܡܕܝܢܬܐ	mdīttā	city	noun	f	01	
ܡܠܬܐ	meltā	Word, Logos	noun	f	01	The Syriac translation of Greek *Logos* (John 1:1)
ܡܫܚܐ	mešḥā	oil	noun	m	01	
ܢܗܪܐ	nahrā	river	noun	m	01	
ܢܘܢܐ	nūnā	fish	noun	m	01	
ܦܘܡܐ	pūmā	mouth	noun	m	01	
ܩܝܣܐ	qaysā	wood, tree	noun	m	01	
ܩܪܝܬܐ	qrītā	village	noun	f	01	emphatic state
ܩܝܡܐ	qyāmā	covenant	noun	m	01	
ܪܒܐ	rabbā	Great, large	noun	m	01	"Root *r-b-b*. Cf. ""Rabbi"" (my great one)."
ܪܓܠܐ	reglā	foot	noun	f	01	
ܣܒܪܐ	sabrā	hope	noun	m	01	
ܣܗܪܐ	sahrā	moon	noun	m	01	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m	01	
ܬܪܥܐ	tarʿā	door, gate	noun	m	01	
ܬܘܪܐ	tawrā	bull, ox	noun	m	01	
ܫܡܫܐ	šemšā	sun	noun	m	01	
ܫܠܡܐ	šlāmā	peace	noun	m	01	common greeting
ܐܢܬ	ʾant	You (m)	pronoun		01	ʾanta (أنتَ)
ܐܢܬܝ	ʾanti	You (f)	pronoun		01	ʾanti (أنتِ)
ܐܢܬܝܢ	ʾantēn	You (f.pl)	pronoun		01	ʾantunna (أنتنّ)
