Syriac	Transliteration	English	PartOfSpeech	Gender	State	Root	Stem	Lesson	Notes
ܐ	ʾ		letter					00	
ܒ	b / v		letter					00	
ܓ	g / gh		letter					00	
ܕ	d / dh		letter					00	
ܗ	h		letter					00	
ܘ	w		letter					00	
ܙ	z		letter					00	
ܚ	ḥ		letter					00	
ܛ	ṭ		letter					00	
ܝ	y		letter					00	
ܟ	k / kh		letter					00	
ܠ	l		letter					00	
ܡ	m		letter					00	
ܢ	n		letter					00	
ܣ	s		letter					00	
ܥ	ʿ		letter					00	
ܦ	p / f		letter					00	
ܨ	ṣ		letter					00	
ܩ	q		letter					00	
ܪ	r		letter					00	
ܫ	š		letter					00	
ܬ	t / th		letter					00	
	Alāhā	God	noun	m				00	
	malkā	King	noun	m				00	
	ʾarʿā	Earth	noun	f				00	
	nūhrā	Light	noun	m				00	
	Yūḥannan	John	noun	m				00	
ܐܣܛܪܢܓܠܐ	Estrangelā	"""Rounded"" script"	noun	f				00	
ܣܦܪܐ	sāp̄rā	Scribe, writer	noun	m				00	
ܟܬܒܐ	ktābā	Book, scripture	noun	m				00	
ܡܓܠܬܐ	megalltā	Scroll	noun	f				00	
ܩܪܨܐ	qarṣā	Parchment	noun	m				00	
ܩܠܡܐ	qalmā	Pen, reed	noun	m				00	
ܕܝܘܬܐ	dīyūtā	Ink	noun	f				00	
ܢܡܘܣܐ	nāmūsā	Law (from Gk Nomos)	noun	m				00	
ܐܢܐ	ʾenā	I	pronoun					01	anā (أنا)
ܐܢܬ	ʾant	You (m)	pronoun					01	ʾanta (أنتَ)
ܐܢܬܝ	ʾanti	You (f)	pronoun					01	ʾanti (أنتِ)
ܗܘ	hū	He / It	pronoun					01	huwa (هو)
ܗܝ	hī	She / It	pronoun					01	hiya (هي)
ܚܢܢ	ḥnan	We	pronoun					01	naḥnu (نحن)
ܐܢܬܘܢ	ʾantūn	You (m.pl)	pronoun					01	ʾantum (أنتم)
ܐܢܬܝܢ	ʾantēn	You (f.pl)	pronoun					01	ʾantunna (أنتنّ)
ܗܢܘܢ	hennōn	They (m)	pronoun					01	hum (هم)
ܗܢܝܢ	hennēn	They (f)	pronoun					01	hunna (هنّ)
ܐܠܗܐ	Alāhā	God	noun	m				01	Cognate w/ Arabic *Allāh*, Heb *ʾĔlōhīm*
ܒܪܢܫܐ	barnāšā	Human, son of man	noun	m				01	Compounded from *bar* (son) + *nāšā* (man). Standard term for human.
ܡܠܟܐ	malkā	King	noun	m				01	Semitic root *m-l-k*
ܡܠܟܘܬܐ	malkūttā	Kingdom	noun	f				01	Abstract noun ending *-ūttā*
ܡܠܬܐ	meltā	Word, Logos	noun	f				01	The Syriac translation of Greek *Logos* (John 1:1)
ܢܘܗܪܐ	nūhrā	Light	noun	m				01	Root *n-h-r*. Cf. Arabic *nūr*
ܐܪܥܐ	ʾarʿā	Earth, land	noun	f				01	Cognate with Hebrew *ʾereṣ*, Arabic *ʾarḍ*
ܛܒܐ	ṭābā	Good	noun	m				01	Adjective behaving as noun. Heb *ṭōb*
ܒܝܫܐ	bīšā	Evil, bad	noun	m				01	Adjective behaving as noun.
ܝܘܚܢܢ	Yūḥannan	John	noun	m				01	Proper Name.
ܪܒܐ	rabbā	Great, large	noun	m				01	"Root *r-b-b*. Cf. ""Rabbi"" (my great one)."
ܚܝܐ	ḥayyē	Life	noun	m.pl				01	Root *ḥ-y-y*. Plural form (like Heb *ḥayyīm*)
ܩܪܝܬܐ	qrītā	village	noun	f				01	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				01	
ܓܪܡܐ	garmā	bone	noun	m				01	
ܟܐܦܐ	kēpā	stone, rock	noun	f				01	
ܡܝܐ	mayyā	water	noun	m				01	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				01	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				01	
ܫܡܫܐ	šemšā	sun	noun	m				01	
ܬܪܥܐ	tarʿā	door, gate	noun	m				01	
ܡܫܚܐ	mešḥā	oil	noun	m				01	
ܚܝܠܐ	ḥaylā	power, army	noun	m				01	
ܐܕܢܐ	ʾednā	ear	noun	f				01	
ܩܝܣܐ	qaysā	wood, tree	noun	m				01	
ܢܗܪܐ	nahrā	river	noun	m				01	
ܣܒܪܐ	sabrā	hope	noun	m				01	
ܕܚܠܬܐ	deḥltā	fear, religion	noun	f				01	abstract noun
ܣܗܪܐ	sahrā	moon	noun	m				01	
ܪܓܠܐ	reglā	foot	noun	f				01	
ܫܠܡܐ	šlāmā	peace	noun	m				01	common greeting
ܐܬܪܐ	ʾatrā	place, country	noun	m				01	
ܣܗܕܐ	sāhdā	witness, martyr	noun	m				01	
ܒܣܪܐ	besrā	flesh	noun	m				01	
ܛܝܒܘܬܐ	ṭaybūttā	grace	noun	f				01	
ܬܘܪܐ	tawrā	bull, ox	noun	m				01	
ܩܝܡܐ	qyāmā	covenant	noun	m				01	
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f				01	
ܗܝܟܠܐ	hayklā	temple, palace	noun	m				01	
ܥܝܢܐ	ʿaynā	eye	noun	f				01	
ܦܘܡܐ	pūmā	mouth	noun	m				01	
ܕܝܢܐ	dīnā	judgment	noun	m				01	
ܩܪܝܬܐ	qrītā	village	noun	f				02	emphatic state
ܠܫܢܐ	leššānā	tongue, language	noun	m				02	
ܓܪܡܐ	garmā	bone	noun	m				02	
ܟܐܦܐ	kēpā	stone, rock	noun	f				02	
ܡܝܐ	mayyā	water	noun	m				02	plural in form; plural form
ܢܘܢܐ	nūnā	fish	noun	m				02	
ܡܕܝܢܬܐ	mdīttā	city	noun	f				02	
ܫܡܫܐ	šemšā	sun	noun	m				02	
ܬܪܥܐ	tarʿā	door, gate	noun	m				02	
ܡܫܚܐ	mešḥā	oil	noun	m				02	
ܚܝܠܐ	ḥaylā	power, army	noun	m				02	
ܐܕܢܐ	ʾednā	ear	noun	f				02	
ܩܝܣܐ	qaysā	wood, tree	noun	m				02	
ܢܗܪܐ	nahrā	river	noun	m				02	
ܣܒܪܐ	sabrā	hope	noun	m				02	
